Region,city,facility_ID,Facilitylicensingtypearname,Facilityclassificationtypearname,Floorscount,RegularRoomsCount,Regularsuitescount,DeluxeSuitesCount,ParkingsCount
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2,فندق,خمسة نجوم,7,342,82,14,330
0xF49CCC680A29B6B3C19B1F6A05E16157,0x5EF2AC9662D6047B7484E6B02DB06A66,3,فندق,أربعة نجوم,14,243,15,2,231
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,8,وحدات سكنية مفروشة,درجة رابعة,2,2,6,4,12
0x2B9EF58D376B99838B5C594123836DEB,0xD8E888F252F39FA549A0CBC4E5D3621F,9,وحدات سكنية مفروشة,درجة رابعة,3,6,14,2,22
0x2B9EF58D376B99838B5C594123836DEB,0x6AA8856581A7435F8AD3C8844BCF6C66,10,وحدات سكنية مفروشة,درجة ثانية,4,0,9,3,15
0xB589F43B919254846B7098154FA77DA6,0x5C8AF99C3C711E4E7AB3202BC242CF6C,11,وحدات سكنية مفروشة,درجة ثالثة,3,12,6,1,20
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xE93779C418A38F79AC92483CD63CF3CE,14,فندق,ثلاثة نجوم,10,214,0,0,24
0xFF0D21557DC36EEF691F12D93326C1BF,0x68F56387F887D1F23BFFED0EB237D652,15,وحدات سكنية مفروشة,درجة ثانية,1,22,40,23,130
0x2B9EF58D376B99838B5C594123836DEB,0x667C0CE57042E017A3A04D418197E210,17,وحدات سكنية مفروشة,درجة رابعة,3,6,12,0,20
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xFB7D7159FAF621E2717A3E45E9B53E77,19,فندق,خمسة نجوم,20,164,152,7,105
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xE93779C418A38F79AC92483CD63CF3CE,20,فندق,خمسة نجوم,10,485,14,7,85
0xC8D94C27F718E15D58EB81FD3FBC0FFD,0x735840CE9D348E846734048281AE48E5,21,وحدات سكنية مفروشة,درجة ثالثة,6,8,12,9,30
0xC8D94C27F718E15D58EB81FD3FBC0FFD,0x735840CE9D348E846734048281AE48E5,23,وحدات سكنية مفروشة,درجة ثالثة,2,11,12,1,17
0xC8D94C27F718E15D58EB81FD3FBC0FFD,0x735840CE9D348E846734048281AE48E5,24,وحدات سكنية مفروشة,درجة ثالثة,3,4,21,0,50
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,27,فندق,خمسة نجوم,11,122,5,22,149
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,28,فندق,أربعة نجوم,21,209,57,50,500
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,29,فندق,أربعة نجوم,7,60,30,35,52
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,32,وحدات سكنية مفروشة,درجة رابعة,3,12,14,0,20
