TransactionTypeId,TransactionName
1,CreateBooking (API External)
2,CreateCheckIn (API External)
3,CreateCheckOut (API External)
4,CancelBooking (API External)
5,OccupancyUpdate  (API External)
6,BookingExpenseDetails  (API External)
7,Booking Cancel Reasons (Look up)
8,Customer Types (Look up)
9,Gender (Look up)
10,Nationality Codes (Look Up)
11,Payment Types (Look up)
12,Purpose Of Visit (Look up)
13,Rent Type (Look up)
14,Room Types (Look up)
15,Booking Expense Types (Look up)
16,Transaction Type ID (Lookup)
